Entity,Code,Year,Share of car stocks that are electric
Australia,AUS,2011,0.00039
Australia,AUS,2012,0.0024
Australia,AUS,2013,0.0046
Australia,AUS,2014,0.014
Australia,AUS,2015,0.027
Australia,AUS,2016,0.037
Australia,AUS,2017,0.052
Australia,AUS,2018,0.077
Australia,AUS,2019,0.14
Australia,AUS,2020,0.18
Australia,AUS,2021,0.32
Australia,AUS,2022,0.59
Australia,AUS,2023,1.2
Australia,AUS,2024,1.9
Austria,AUT,2010,0.0079
Austria,AUT,2011,0.022
Austria,AUT,2012,0.033
Austria,AUT,2013,0.053
Austria,AUT,2014,0.089
Austria,AUT,2015,0.14
Austria,AUT,2016,0.24
Austria,AUT,2017,0.38
Austria,AUT,2018,0.53
Austria,AUT,2019,0.75
Austria,AUT,2020,1.2
Austria,AUT,2021,2.1
Austria,AUT,2022,3
Austria,AUT,2023,4.1
Austria,AUT,2024,5.3
Belgium,BEL,2010,0.0013
Belgium,BEL,2011,0.0065
Belgium,BEL,2012,0.022
Belgium,BEL,2013,0.033
Belgium,BEL,2014,0.067
Belgium,BEL,2015,0.13
Belgium,BEL,2016,0.28
Belgium,BEL,2017,0.53
Belgium,BEL,2018,0.75
Belgium,BEL,2019,1
Belgium,BEL,2020,1.8
Belgium,BEL,2021,2.9
Belgium,BEL,2022,4.5
Belgium,BEL,2023,7.8
Belgium,BEL,2024,11
Brazil,BRA,2014,0.0002
Brazil,BRA,2015,0.00048
Brazil,BRA,2016,0.001
Brazil,BRA,2017,0.0022
Brazil,BRA,2018,0.0034
Brazil,BRA,2019,0.0094
Brazil,BRA,2020,0.017
Brazil,BRA,2021,0.063
Brazil,BRA,2022,0.12
Brazil,BRA,2023,0.3
Brazil,BRA,2024,0.7
Canada,CAN,2011,0.0029
Canada,CAN,2012,0.013
Canada,CAN,2013,0.027
Canada,CAN,2014,0.053
Canada,CAN,2015,0.084
Canada,CAN,2016,0.13
Canada,CAN,2017,0.21
Canada,CAN,2018,0.39
Canada,CAN,2019,0.6
Canada,CAN,2020,0.83
Canada,CAN,2021,1.2
Canada,CAN,2022,1.7
Canada,CAN,2023,2.3
Canada,CAN,2024,4.2
Chile,CHL,2011,0.00028
Chile,CHL,2012,0.00047
Chile,CHL,2013,0.00062
Chile,CHL,2014,0.0012
Chile,CHL,2015,0.0023
Chile,CHL,2016,0.0032
Chile,CHL,2017,0.0069
Chile,CHL,2018,0.011
Chile,CHL,2019,0.017
Chile,CHL,2020,0.022
Chile,CHL,2021,0.034
Chile,CHL,2022,0.068
Chile,CHL,2023,0.13
Chile,CHL,2024,0.26
China,CHN,2010,0.0031
China,CHN,2011,0.0091
China,CHN,2012,0.019
China,CHN,2013,0.031
China,CHN,2014,0.07
China,CHN,2015,0.21
China,CHN,2016,0.39
China,CHN,2017,0.65
China,CHN,2018,1.1
China,CHN,2019,1.5
China,CHN,2020,1.9
China,CHN,2021,3
China,CHN,2022,5
China,CHN,2023,7.5
China,CHN,2024,11
Denmark,DNK,2010,0.0037
Denmark,DNK,2011,0.023
Denmark,DNK,2012,0.056
Denmark,DNK,2013,0.068
Denmark,DNK,2014,0.13
Denmark,DNK,2015,0.35
Denmark,DNK,2016,0.4
Denmark,DNK,2017,0.42
Denmark,DNK,2018,0.59
Denmark,DNK,2019,0.96
Denmark,DNK,2020,2.3
Denmark,DNK,2021,5.2
Denmark,DNK,2022,7.8
Denmark,DNK,2023,11
Denmark,DNK,2024,17
Europe,,2010,0.0038
Europe,,2011,0.0076
Europe,,2012,0.017
Europe,,2013,0.038
Europe,,2014,0.071
Europe,,2015,0.13
Europe,,2016,0.21
Europe,,2017,0.3
Europe,,2018,0.43
Europe,,2019,0.6
Europe,,2020,1.1
Europe,,2021,1.8
Europe,,2022,2.5
Europe,,2023,3.6
Europe,,2024,4.7
European Union (27),,2010,0.0024
European Union (27),,2011,0.006
European Union (27),,2012,0.015
European Union (27),,2013,0.035
European Union (27),,2014,0.06
European Union (27),,2015,0.11
European Union (27),,2016,0.16
