economy,year,co2_total_mt,delta_net_mt,delta_pct_total,reduction_mt,reduction_pct_total,share_of_global_reduction_%
LTE,2023,18580.4575,-413.84689501832247,-2.2273234930750356,413.84689501832247,2.2273234930750356,48.512768637060255
HIC,2023,13690.6971,-102.79456252326759,-0.7508351238248314,102.79456252326759,0.7508351238248314,12.049984882980263
NAC,2023,5257.4019,-89.06491002516742,-1.6940860090069856,89.06491002516742,1.6940860090069856,10.440540754909469
USA,2023,4682.0394,-63.10575935894522,-1.3478263202771261,63.10575935894522,1.3478263202771261,7.397506518228122
ECS,2023,6165.4863,-40.7121517177938,-0.6603234479297084,40.7121517177938,0.6603234479297084,4.7724393266615746
PST,2023,9957.3304,-37.53594478775079,-0.37696795506304376,37.53594478775079,0.37696795506304376,4.400111797337519
RUS,2022,2025.1436,-26.12720438932439,-1.2901408270171255,26.12720438932439,1.2901408270171255,3.0627341582842185
CAN,2023,575.012,-20.19871799418418,-3.512747211220667,20.19871799418418,3.512747211220667,2.36777355252043
UMC,2023,18657.5368,-17.762940176761163,-0.09520517293987683,17.762940176761163,0.09520517293987683,2.082242050096823
FRA,2023,282.4275,-6.50028106145402,-2.3015751162524967,6.50028106145402,2.3015751162524967,0.7619886363922624
