,economy,year,renew_energy_pct,gdp_per_energy_ppp,fossil_energy_pct,elec_use_kwh_pc,co2_total_mt,gdp_deflator_infl_pct,gdp_usd_current,gdp_usd,pop_growth_pct,population_total,urban_pop_pct
0,ABW,1990,0.3,,,,0.2009,5.76986990784422,764804469.273743,1669818678.8499,3.75056134586705,62753.0,50.319
1,ABW,1991,0.2,,,,0.2262,5.61485982807162,872067039.106145,1802784198.40914,4.88713560049167,65896.0,50.304
2,ABW,1992,0.2,,,,0.2506,3.82233511678332,958659217.877095,1908830345.97587,4.61012241010557,69005.0,49.998
3,ABW,1993,0.2,,,,0.2514,5.30031405765243,1083240223.46369,2048321812.23325,6.5620284925223,73685.0,49.588
4,ABW,1994,0.2,,,,0.2856,6.28797536126895,1245810055.86592,2216364111.87433,5.17037414583618,77595.0,49.177
5,ABW,1995,0.2,,,,0.3142,3.37583749127457,1320670391.06145,2272818090.43191,2.80831670109337,79805.0,48.767
6,ABW,1996,0.2,,,,0.2066,3.25948642303557,1379888268.15642,2299768906.23206,3.95074287081186,83021.0,48.356
7,ABW,1997,0.2,,,,0.3427,3.70423775271973,1531843575.41899,2461830746.1686,3.87475976651232,86301.0,47.946
8,ABW,1998,0.2,,,,0.3509,6.59295050184228,1665363128.49162,2510870031.79451,2.4607540856619,88451.0,47.536
9,ABW,1999,0.2,,,,0.3555,2.19006066092493,1722905027.93296,2541955653.38816,1.35648590551186,89659.0,47.127
10,ABW,2000,0.2,,,,0.2686,1.03610080269524,1873452513.96648,2735726915.78639,1.03081685259869,90588.0,46.717
11,ABW,2001,0.2,,,,0.2715,-2.83550241253081,1896456983.24022,2850135060.01,0.93503293482838,91439.0,46.339
12,ABW,2002,0.2,,,,0.2966,4.43468813342022,1961843575.41899,2823202609.54275,0.692051826700269,92074.0,45.972
13,ABW,2003,0.2,,,,0.3419,3.04904620110997,2044111731.84358,2854554404.37331,1.13822893851655,93128.0,45.606
14,ABW,2004,0.2,,,,0.3489,2.80990970893053,2254830726.25698,3062757840.26596,2.13535781849357,95138.0,45.24
15,ABW,2005,0.2,,,,0.3848,5.06749722968669,2360017318.43575,3051023261.17582,2.59075665615847,97635.0,44.875
16,ABW,2006,0.2,,,,0.4237,3.48434619543613,2469782681.56425,3085420847.19517,1.79663785158395,99405.0,44.511
17,ABW,2007,0.2,,,,0.4575,5.16689296887391,2677641340.78212,3180746293.72871,0.746664790352749,100150.0,44.147
18,ABW,2008,0.2,,,,0.454,4.26244900176589,2843024581.00559,3239137008.32128,0.762933470313563,100917.0,43.783
19,ABW,2009,0.3,,,,0.4927,1.70328044813839,2553793296.08939,2860878965.88948,0.678450763317743,101604.0,43.421
20,ABW,2010,5.5,,,,0.4822,-1.22340655068425,2453597206.70391,2782678075.47099,0.230041095930877,101838.0,43.059
21,ABW,2011,5.7,,,,0.2902,4.00567421402882,2637859217.87709,2876433099.90676,0.736689418341162,102591.0,42.94
22,ABW,2012,6.9,,,,0.3749,0.184032701346126,2615208379.88827,2846495187.52904,1.46978228958006,104110.0,42.957
23,ABW,2013,6.9,,,,0.4123,-1.99594849465619,2727849720.67039,3029567030.34403,1.49203139661921,105675.0,42.99
24,ABW,2014,6.9,,,,0.4407,3.95889741019282,2790849720.67039,2981500673.04632,1.06551209965487,106807.0,43.041
25,ABW,2015,6.7,,,,0.462,6.831286936157,2962907262.56983,2962907262.56983,1.02370103122312,107906.0,43.108
26,ABW,2016,7.0,,,,0.4849,-1.00279969703662,2983635195.53073,3013858155.98809,0.75796755862231,108727.0,43.192
27,ABW,2017,6.8,,,,0.4666,-3.17816679833555,3092429050.27933,3226290954.32065,0.007357607309414,108735.0,43.293
28,ABW,2018,8.6,,,,0.4659,3.4620285989059,3276184357.5419,3303627929.55249,0.158975971141518,108908.0,43.411
29,ABW,2019,8.3,,,,0.5579,6.01781789080067,3395798882.68156,3229876351.25335,0.270504632854835,109203.0,43.546
30,ABW,2020,9.1,,,,0.4526,-0.951473805261571,2481857122.8401,2383266968.91162,-0.565684046703506,108587.0,43.697
31,ABW,2021,8.8,,,,0.5006,-4.91262490390014,2929446578.25104,2958411905.44105,-0.82021108315363,107700.0,43.866
32,ABW,2022,8.8,,,,0.5027,3.15727939363973,3279343543.60416,3210407008.76028,-0.362774222330685,107310.0,44.052
33,ABW,2023,,,,,0.53,6.70946117676064,3648573136.15155,3347289755.67821,0.0456516784920034,107359.0,44.254
34,ABW,2024,,,,,,,,,0.246531245928562,107624.0,44.474
35,AFE,1990,60.842404289004,2.7537210492838,47.9398093473128,665.40305144465,378.5044,11.9939039075081,256504902942.114,399506714934.442,2.86654890669014,311748681.0,25.3087143914043
36,AFE,1991,62.1332952333327,2.79503889543991,47.9632540329855,652.787034158317,370.7042,14.9789364260078,277043404954.608,399125331150.141,2.75069381267418,320442961.0,25.7425655052445
37,AFE,1992,63.9407887013287,2.83834581670336,46.0941703782292,625.642023177861,364.3665,14.6406552101884,241297872903.172,389745245706.821,2.66048165065413,329082707.0,26.166294121751
38,AFE,1993,64.6519649122807,2.79481346258775,47.2728421670986,623.022986401329,364.4641,13.8705025929709,240094759186.747,387408965682.58,2.76949139016801,338324002.0,26.6072939873979
39,AFE,1994,65.1450669770894,2.78723176012765,46.8997176068227,626.902539042864,372.7854,17.0164147872542,243571144844.344,394893828571.086,2.65931727355301,347441809.0,27.0375748984947
40,AFE,1995,64.7215351777626,2.83797303094136,47.3274432016723,639.069617269206,392.5503,16.1027117424962,273433173838.293,411805739806.584,2.59624753960851,356580375.0,27.408217689319
41,AFE,1996,63.9292722735762,2.9710950617908,46.720340774002,706.112660827831,407.2177,15.1761803358905,273530987732.975,434267004530.754,2.64520724063808,366138524.0,27.685697177495
42,AFE,1997,63.2412934102344,3.08131971833317,46.3435954549642,714.147532021971,423.815,10.5450486551459,288377676457.787,450951443433.988,2.56360934676329,375646235.0,27.9580826816113
43,AFE,1998,63.9620962287123,3.14572927207418,46.7969472122265,680.224675554207,431.596,9.10917293901807,268833469565.376,458854951012.97,2.59082906065185,385505757.0,28.2459208135898
44,AFE,1999,65.058400842755,3.23960105028138,46.4280797717269,660.339814564711,418.7064,8.00681329656155,265429291662.216,471011324578.898,2.62289295632848,395750933.0,28.5328930699047
45,AFE,2000,65.3858665294723,3.50781289639877,47.750923132238,668.783360793198,425.0283,11.1173058824862,287201651521.163,486140997187.189,2.59538933998788,406156661.0,28.8133608282101
46,AFE,2001,65.8173627780445,3.71140030143948,46.9870010217962,637.434476993485,436.7736,8.31282499951298,260992228316.31,503182611806.93,2.5886417713116,416807868.0,29.110011172433
47,AFE,2002,65.0992811815578,3.9256403526793,45.0264058500342,658.582962136586,450.3511,8.9149284688433,267815037639.861,522473869009.402,2.60780157535376,427820358.0,29.4238903158694
48,AFE,2003,64.6151241962775,3.87920055099982,47.4292382945314,663.520508827763,473.8282,7.8067408729751,355716369817.829,537902201109.957,2.61906809457548,439173286.0,29.7348697219553
49,AFE,2004,63.6780350675331,4.00686181799627,49.043139847841,666.124488185369,510.3818,9.60039256006742,442696186423.428,567779697846.131,2.64137149821667,450928044.0,30.0480397812627
50,AFE,2005,63.1090982683818,4.38864942082404,48.2060382291085,668.642063334973,524.9183,7.62368935878268,516661066865.396,602769083967.025,2.65847839652985,463076637.0,30.3809953392877
51,AFE,2006,62.7381235737246,4.67395338309059,48.6386545878544,674.530559725657,534.2282,7.65225430526529,580240750535.502,642415850385.64,2.66976588552462,475606210.0,30.704020023887
52,AFE,2007,61.5051686589556,4.91229139258052,50.7788482410199,681.946381697062,557.2732,8.24576476611674,665598701333.933,685116814693.612,2.69144498343854,488580707.0,30.9582450271517
53,AFE,2008,61.9080266133138,4.95842495211113,51.9583084650662,651.430356985593,588.0186,10.961412407556,713502106251.46,715030200782.856,2.72364001522085,502070763.0,31.3627828804761
54,AFE,2009,61.3046006287143,4.8773656076923,51.7665453236683,619.994214021894,561.5363,8.28143239106254,715485349813.383,721412927602.431,2.73723757208867,516003448.0,31.7742373050596
55,AFE,2010,62.8763868126774,5.31104079465632,49.888658935811,634.86034996756,576.5684,5.88302203486953,849409606774.9,758983704845.375,2.73452519643287,530308387.0,32.1955953471221
56,AFE,2011,62.8052791594478,5.42570355339235,49.8452112061088,636.864902252909,570.2894,9.74570998523772,945439030450.479,789790271072.882,2.68462143269084,544737983.0,32.6280688229592
57,AFE,2012,61.4099642987411,5.46410670451476,47.9888148562131,608.999899242723,589.2651,6.20387787625781,952998471719.373,803753522514.389,2.69351289263264,559609961.0,33.052742223393
58,AFE,2013,60.8017990466951,5.64928179143397,47.7908244853555,602.67001551757,612.7969,5.54626698664435,962441293816.426,838457390641.823,2.7482455829431,575202699.0,33.4965565572998
59,AFE,2014,61.2358816947099,5.80536989978119,48.4840013025553,591.416869783805,635.6297,5.40353538297499,978743758351.278,872116009582.832,2.70410469635343,590968990.0,33.9596331101231
60,AFE,2015,61.6702780479896,5.96672715375492,47.3248811399745,582.708405096372,621.8665,5.36669399398079,898308853395.359,898308853395.359,2.69683038788555,607123269.0,34.4472807617476
61,AFE,2016,61.8228841937413,6.1185222721904,47.2042765305367,568.70345182297,628.5365,6.40090045368644,828961170566.435,918035636831.028,2.64074325542301,623369401.0,34.9195443761507
62,AFE,2017,61.4269497576408,6.48902692953277,46.7516150167449,566.073367993878,637.9068,6.86381501459532,973025126473.894,942788060956.355,2.64206728810391,640058741.0,35.3962894579202
63,AFE,2018,61.5875298317964,6.53044302047258,45.8562097907504,568.141298635339,645.8367,4.32175867770079,1012291194268.21,967913721743.298,2.73426282366823,657801085.0,35.8933979262181
64,AFE,2019,62.6907096127666,6.66973089410586,46.2219929707477,548.496602112228,654.5401,4.44437946494116,1009746517725.42,989211118718.634,2.72168052257397,675950189.0,36.384272287815
65,AFE,2020,65.7823798017466,6.72193661262669,43.2322046479544,512.766660655158,578.052,5.29660923473831,933407232177.078,960921818200.308,2.69951609745311,694446100.0,36.8840344817359
